Country,Site,latitude_longitude,ServiceLine,Baseline,DeliveryType
New Zealand,Avondale,"-36.894517,174.696524",Catering,"2,550.00",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,"2,533.12",Subcontract
Singapore,Jurong,"1.364434,103.775263",Catering,"2,470.00",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Catering,"2,465.00",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,"2,372.85",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Catering,"2,371.00",Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,"2,367.09",Subcontract
Australia,Claremont,"-31.981633,115.781288",Catering,"2,357.00",Subcontract
Australia,Ringwood,"-37.814262,145.227386",Cleaning,"2,194.07",Subcontract
Australia,South Wharf,"-37.824997,144.951999",Catering,"2,194.00",Subcontract
India,Mumbai EC,"19.030029,72.861308",Catering,"2,178.00",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Catering,"2,096.00",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Catering,"2,075.00",Subcontract
Australia,South Wharf,"-37.824997,144.951999",Catering,"2,058.00",Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Catering,"2,047.00",Subcontract
Australia,Ringwood,"-37.814262,145.227386",Catering,"2,045.00",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Catering,"2,040.00",Subcontract
Australia,Scoresby,"-37.898567,145.230362",Catering,"2,037.00",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Catering,"2,034.00",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Catering,"2,020.00",Subcontract
Australia,South Wharf,"-37.824997,144.951999",Building Fabric,"2,016.00",Self Delivery
India,Mumbai EC,"19.030029,72.861308",FM management & administration,"25,071.00",Self Delivery
New Zealand,Avondale,"-36.894517,174.696524","E, H, S & Q, compliance","10,827.00",Self Delivery
India,Baddi,"30.957826,76.791356",Grounds Maintenance,"27,370.00",Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",Employee Convenience Services,"9,508.00",Self Delivery
Australia,South Wharf,"-37.824997,144.951999",Grounds Maintenance,"10,107.00",Self Delivery
India,Baddi,"30.957826,76.791356",Catering,"1,977.00",Subcontract
Australia,South Wharf,"-37.824997,144.951999",FM management & administration,"11,489.00",Self Delivery
Australia,Ringwood,"-37.814262,145.227386",Grounds Maintenance,"29,204.00",Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",FM management & administration,"29,204.00",Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",Grounds Maintenance,"25,228.00",Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",Grounds Maintenance,"29,824.00",Self Delivery
India,Mumbai EC,"19.030029,72.861308",FM management & administration,"19,319.00",Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",Employee Convenience Services,"9,723.00",Self Delivery
Australia,Scoresby,"-37.898567,145.230362",Grounds Maintenance,"27,546.00",Self Delivery
Australia,Ringwood,"-37.814262,145.227386",FM management & administration,"9,671.00",Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",FM management & administration,"9,671.00",Self Delivery
Australia,South Wharf,"-37.824997,144.951999",FM management & administration,"8,851.00",Self Delivery
India,Mumbai EC,"19.030029,72.861308",Employee Convenience Services,"10,368.00",Self Delivery
Singapore,Jurong,"1.364434,103.775263",FM management & administration,"25,205.00",Self Delivery
Australia,Ringwood,"-37.814262,145.227386",FM management & administration,"25,139.00",Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",FM management & administration,"25,139.00",Self Delivery
Australia,Ringwood,"-37.814262,145.227386",FM management & administration,"23,762.00",Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",Grounds Maintenance,"23,762.00",Self Delivery
Australia,South Wharf,"-37.824997,144.951999",FM management & administration,"25,891.00",Self Delivery
Australia,Ringwood,"-37.814262,145.227386",Employee Convenience Services,"8,674.00",Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",FM management & administration,"25,123.00",Self Delivery
Australia,Ringwood,"-37.814262,145.227386",Building Fabric,"1,914.24",Self Delivery
Australia,South Wharf,"-37.824997,144.951999",Employee Convenience Services,"9,530.00",Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",FM management & administration,"25,089.00",Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",FM management & administration,"12,937.00",Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",Grounds Maintenance,"25,852.00",Self Delivery
India,Baddi,"30.957826,76.791356",M&E Equipment,"1,891.04",Subcontract
Singapore,Jurong,"1.364434,103.775263",Grounds Maintenance,"27,494.00",Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",Employee Convenience Services,"8,539.00",Self Delivery
India,Baddi,"30.957826,76.791356",Catering,"1,886.00",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",FM management & administration,"11,642.00",Self Delivery
India,Baddi,"30.957826,76.791356",Grounds Maintenance,"8,729.00",Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",Employee Convenience Services,"9,516.00",Self Delivery
Australia,Claremont,"-31.981633,115.781288",FM management & administration,"27,327.00",Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",FM management & administration,"27,327.00",Self Delivery
India,Baddi,"30.957826,76.791356",Employee Convenience Services,"9,383.00",Self Delivery
India,Mumbai EC,"19.030029,72.861308",Grounds Maintenance,"26,503.00",Self Delivery
Australia,Ringwood,"-37.814262,145.227386",Employee Convenience Services,"9,800.00",Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",FM management & administration,"26,948.00",Self Delivery
Australia,South Wharf,"-37.824997,144.951999",FM management & administration,"30,682.00",Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",Security,"1,848.59",Subcontract
Australia,Claremont,"-31.981633,115.781288",Employee Convenience Services,"8,028.00",Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",FM management & administration,"12,854.00",Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",Employee Convenience Services,"8,328.00",Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",Grounds Maintenance,"24,125.00",Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",FM management & administration,"12,877.00",Self Delivery
Singapore,Jurong,"1.364434,103.775263",Document Management,"8,008.00",Self Delivery
Australia,Claremont,"-31.981633,115.781288",Employee Convenience Services,"10,369.00",Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",FM management & administration,"13,808.00",Self Delivery
India,Baddi,"30.957826,76.791356",Business Continuity & DR,"1,803.00",Self Delivery
India,Mumbai EC,"19.030029,72.861308",FM management & administration,"30,627.00",Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",Employee Convenience Services,"9,415.00",Self Delivery
Australia,Ringwood,"-37.814262,145.227386",FM management & administration,"28,154.00",Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",Grounds Maintenance,"28,154.00",Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",Catering,"1,788.00",Subcontract
Australia,Claremont,"-31.981633,115.781288",FM management & administration,"20,496.00",Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",FM management & administration,"20,496.00",Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",FM management & administration,"20,496.00",Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",Catering,"1,780.00",Subcontract
Australia,Claremont,"-31.981633,115.781288","E, H, S & Q, compliance","9,164.00",Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",FM management & administration,"12,257.00",Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",FM management & administration,"16,011.00",Self Delivery
Australia,Ringwood,"-37.814262,145.227386",FM management & administration,"16,025.00",Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",FM management & administration,"16,025.00",Self Delivery
Australia,South Wharf,"-37.824997,144.951999",Employee Convenience Services,"8,090.00",Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",FM management & administration,"23,957.00",Self Delivery
Australia,Scoresby,"-37.898567,145.230362",Employee Convenience Services,"9,282.00",Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",Grounds Maintenance,"29,510.00",Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",Security,"1,728.57",Subcontract
Singapore,Jurong,"1.364434,103.775263",Employee Convenience Services,"10,237.00",Self Delivery
Singapore,Jurong,"1.364434,103.775263",FM management & administration,"25,671.00",Self Delivery
Australia,Ringwood,"-37.814262,145.227386",FM management & administration,"15,678.00",Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",Grounds Maintenance,"15,678.00",Self Delivery
Singapore,Jurong,"1.364434,103.775263",FM management & administration,"8,022.00",Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",Employee Convenience Services,"8,707.00",Self Delivery
India,Mumbai EC,"19.030029,72.861308",Catering,"1,691.00",Subcontract
Australia,Scoresby,"-37.898567,145.230362",FM management & administration,"26,776.00",Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",Grounds Maintenance,"26,776.00",Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",FM management & administration,"29,844.00",Self Delivery
India,Mumbai EC,"19.030029,72.861308",Building Fabric,"1,656.28",Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",FM management & administration,"16,280.00",Self Delivery
India,Mumbai EC,"19.030029,72.861308",FM management & administration,"21,262.00",Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",Employee Convenience Services,"9,537.00",Self Delivery
India,Mumbai EC,"19.030029,72.861308",FM management & administration,"15,092.00",Self Delivery
New Zealand,Avondale,"-36.894517,174.696524","E, H, S & Q, compliance","10,305.00",Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",FM management & administration,"7,953.00",Self Delivery
Singapore,Jurong,"1.364434,103.775263",Employee Convenience Services,"8,788.00",Self Delivery
Singapore,Jurong,"1.364434,103.775263",FM management & administration,"24,570.00",Self Delivery
Australia,Claremont,"-31.981633,115.781288",FM management & administration,"18,047.00",Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",FM management & administration,"18,047.00",Self Delivery
Australia,Claremont,"-31.981633,115.781288",Building Fabric,"1,607.96",Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",FM management & administration,"14,472.00",Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",Grounds Maintenance,"24,549.00",Self Delivery
India,Baddi,"30.957826,76.791356",Catering,"1,598.00",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",FM management & administration,"23,811.00",Self Delivery
India,Mumbai EC,"19.030029,72.861308",Catering,"1,585.00",Subcontract
Singapore,Jurong,"1.364434,103.775263",Security,"1,581.90",Subcontract
Australia,South Wharf,"-37.824997,144.951999","E, H, S & Q, compliance","9,752.00",Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",FM management & administration,"29,761.00",Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",Grounds Maintenance,"30,211.00",Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",Catering,"1,546.00",Subcontract
Australia,Scoresby,"-37.898567,145.230362",Employee Convenience Services,"10,347.00",Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",Grounds Maintenance,"25,050.00",Self Delivery
Australia,Scoresby,"-37.898567,145.230362",Employee Convenience Services,"10,309.00",Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",Grounds Maintenance,"28,373.00",Self Delivery
Australia,Claremont,"-31.981633,115.781288",FM management & administration,"8,872.00",Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",FM management & administration,"8,872.00",Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",Catering,"1,524.00",Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Catering,"1,508.00",Subcontract
Australia,Claremont,"-31.981633,115.781288",FM management & administration,"20,353.00",Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",FM management & administration,"20,353.00",Self Delivery
Australia,South Wharf,"-37.824997,144.951999",Grounds Maintenance,"24,582.00",Self Delivery
Singapore,Jurong,"1.364434,103.775263",Catering,"1,498.00",Subcontract
Australia,Scoresby,"-37.898567,145.230362",FM management & administration,"12,491.00",Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",Grounds Maintenance,"12,491.00",Self Delivery
India,Baddi,"30.957826,76.791356",Document Management,"7,612.00",Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",FM management & administration,"23,295.00",Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",Employee Convenience Services,"9,938.00",Self Delivery
India,Baddi,"30.957826,76.791356",FM management & administration,"25,424.00",Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",FM management & administration,"26,093.00",Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",Fire and Security Equipment,"1,459.44",Subcontract
India,Mumbai EC,"19.030029,72.861308",FM management & administration,"16,126.00",Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",Employee Convenience Services,"9,988.00",Self Delivery
Australia,Scoresby,"-37.898567,145.230362",Catering,"1,454.82",Subcontract
Australia,South Wharf,"-37.824997,144.951999",Employee Convenience Services,"10,299.00",Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",Grounds Maintenance,"13,570.00",Self Delivery
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,"1,436.37",Subcontract
Singapore,Jurong,"1.364434,103.775263",Employee Convenience Services,"8,844.00",Self Delivery
Singapore,Jurong,"1.364434,103.775263",FM management & administration,"19,756.00",Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",FM management & administration,"23,732.00",Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",Fire and Security Equipment,"1,433.75",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Employee Convenience Services,"8,917.00",Self Delivery
India,Baddi,"30.957826,76.791356",FM management & administration,"29,284.00",Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",FM management & administration,"28,352.00",Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861","E, H, S & Q, compliance","8,268.00",Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",Grounds Maintenance,"21,803.00",Self Delivery
Australia,South Wharf,"-37.824997,144.951999",FM management & administration,"24,026.00",Self Delivery
Australia,Ringwood,"-37.814262,145.227386",Catering,"1,395.00",Subcontract
Australia,South Wharf,"-37.824997,144.951999",FM management & administration,"12,708.00",Self Delivery
India,Mumbai EC,"19.030029,72.861308",FM management & administration,"9,508.00",Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",Employee Convenience Services,"9,439.00",Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",Catering,"1,371.00",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",FM management & administration,"14,817.00",Self Delivery
India,Baddi,"30.957826,76.791356",Grounds Maintenance,"23,982.00",Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",Employee Convenience Services,"9,093.00",Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",FM management & administration,"29,933.00",Self Delivery
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,"1,360.44",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",FM management & administration,"15,265.00",Self Delivery
Australia,South Wharf,"-37.824997,144.951999",Grounds Maintenance,"16,024.00",Self Delivery
India,Baddi,"30.957826,76.791356",Cleaning,"1,353.86",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Employee Convenience Services,"8,726.00",Self Delivery
Australia,South Wharf,"-37.824997,144.951999",Employee Convenience Services,"8,328.00",Self Delivery
India,Baddi,"30.957826,76.791356",FM management & administration,"23,858.00",Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",FM management & administration,"11,680.00",Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",FM management & administration,"30,796.00",Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",FM management & administration,"21,730.00",Self Delivery
Australia,Scoresby,"-37.898567,145.230362",Catering,"1,332.00",Subcontract
Australia,Claremont,"-31.981633,115.781288",Catering,"1,329.00",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,"1,328.80",Subcontract
Australia,Scoresby,"-37.898567,145.230362",Document Management,"7,612.00",Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",Grounds Maintenance,"15,570.00",Self Delivery
India,Mumbai EC,"19.030029,72.861308",Building Fabric,"1,294.00",Self Delivery
India,Baddi,"30.957826,76.791356",Grounds Maintenance,"10,799.00",Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332","E, H, S & Q, compliance","10,187.00",Self Delivery
Australia,Claremont,"-31.981633,115.781288",Document Management,"9,318.00",Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",FM management & administration,"20,900.00",Self Delivery
Australia,Scoresby,"-37.898567,145.230362",Grounds Maintenance,"27,122.00",Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",Grounds Maintenance,"31,102.00",Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",FM management & administration,"26,879.00",Self Delivery
Australia,Scoresby,"-37.898567,145.230362",FM management & administration,"24,467.00",Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",Grounds Maintenance,"24,467.00",Self Delivery
Singapore,Jurong,"1.364434,103.775263",Employee Convenience Services,"8,911.00",Self Delivery
Singapore,Jurong,"1.364434,103.775263",FM management & administration,"7,599.00",Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",Grounds Maintenance,"1,263.40",Self Delivery
Australia,Claremont,"-31.981633,115.781288",FM management & administration,"29,891.00",Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",FM management & administration,"29,891.00",Self Delivery
India,Baddi,"30.957826,76.791356",Employee Convenience Services,"9,010.00",Self Delivery
India,Mumbai EC,"19.030029,72.861308",Grounds Maintenance,"25,971.00",Self Delivery
Australia,South Wharf,"-37.824997,144.951999",Grounds Maintenance,"18,588.00",Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,"1,231.79",Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Catering,"1,227.00",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",FM management & administration,"26,675.00",Self Delivery
Australia,Claremont,"-31.981633,115.781288",FM management & administration,"10,539.00",Self Delivery
Australia,Ringwood,"-37.814262,145.227386",Employee Convenience Services,"9,361.00",Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",FM management & administration,"18,356.00",Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",FM management & administration,"10,539.00",Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",Employee Convenience Services,"9,259.00",Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",FM management & administration,"26,794.00",Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",Security,"1,198.94",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Employee Convenience Services,"7,232.00",Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",FM management & administration,"19,784.00",Self Delivery
Australia,Claremont,"-31.981633,115.781288",Catering,"1,189.00",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Catering,"1,181.00",Subcontract
Australia,Claremont,"-31.981633,115.781288",Grounds Maintenance,"16,940.00",Self Delivery
Australia,Claremont,"-31.981633,115.781288",Grounds Maintenance,"12,248.00",Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",FM management & administration,"16,940.00",Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",FM management & administration,"12,248.00",Self Delivery
Australia,Scoresby,"-37.898567,145.230362",FM management & administration,"24,687.00",Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,"1,178.52",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Employee Convenience Services,"9,297.00",Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",FM management & administration,"28,113.00",Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",Business Continuity & DR,"1,171.00",Self Delivery
Australia,Claremont,"-31.981633,115.781288",FM management & administration,"18,172.00",Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",FM management & administration,"18,172.00",Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,"1,156.80",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",FM management & administration,"7,158.00",Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",Document Management,"7,242.00",Self Delivery
India,Mumbai EC,"19.030029,72.861308",Employee Convenience Services,"9,163.00",Self Delivery
Singapore,Jurong,"1.364434,103.775263",FM management & administration,"7,861.00",Self Delivery
Australia,Scoresby,"-37.898567,145.230362",Grounds Maintenance,"26,021.00",Self Delivery
Singapore,Jurong,"1.364434,103.775263",Grounds Maintenance,"30,589.00",Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",Employee Convenience Services,"7,898.00",Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,"1,131.85",Subcontract
India,Baddi,"30.957826,76.791356",FM management & administration,"1,129.10",Self Delivery
Australia,Scoresby,"-37.898567,145.230362",FM management & administration,"18,253.00",Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",Grounds Maintenance,"18,253.00",Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",Employee Convenience Services,"9,466.00",Self Delivery
India,Baddi,"30.957826,76.791356",FM management & administration,"21,232.00",Self Delivery
Singapore,Jurong,"1.364434,103.775263",Catering,"1,107.33",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Grounds Maintenance,"28,358.00",Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",Catering,"1,093.00",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Catering,"1,090.00",Subcontract
Singapore,Jurong,"1.364434,103.775263",Catering,"1,072.00",Subcontract
India,Baddi,"30.957826,76.791356",Building Fabric,"19,055.85",Self Delivery
India,Mumbai EC,"19.030029,72.861308",Employee Convenience Services,"8,567.00",Self Delivery
India,Mumbai EC,"19.030029,72.861308",Grounds Maintenance,"16,006.00",Self Delivery
Australia,South Wharf,"-37.824997,144.951999",Building Fabric,"1,048.05",Self Delivery
Singapore,Jurong,"1.364434,103.775263",Catering,"1,047.12",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Document Management,"8,353.00",Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",FM management & administration,"23,372.00",Self Delivery
Australia,Scoresby,"-37.898567,145.230362",FM management & administration,"28,805.00",Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",Building Fabric,"1,024.00",Self Delivery
India,Mumbai EC,"19.030029,72.861308",FM management & administration,"26,899.00",Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",Employee Convenience Services,"8,023.00",Self Delivery
Australia,Ringwood,"-37.814262,145.227386",FM management & administration,"26,872.00",Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",FM management & administration,"26,872.00",Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",Grounds Maintenance,"14,988.00",Self Delivery
Australia,South Wharf,"-37.824997,144.951999",FM management & administration,"8,976.00",Self Delivery
Singapore,Jurong,"1.364434,103.775263",Grounds Maintenance,"16,381.00",Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",Employee Convenience Services,"8,624.00",Self Delivery
Australia,Ringwood,"-37.814262,145.227386",FM management & administration,"30,821.00",Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",FM management & administration,"30,821.00",Self Delivery
Australia,Scoresby,"-37.898567,145.230362",FM management & administration,"22,595.00",Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",Grounds Maintenance,"22,595.00",Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",FM management & administration,"18,306.00",Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",FM management & administration,"8,307.00",Self Delivery
India,Baddi,"30.957826,76.791356",Employee Convenience Services,955.67,Self Delivery
Singapore,Jurong,"1.364434,103.775263",Grounds Maintenance,"19,387.00",Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",Employee Convenience Services,"9,448.00",Self Delivery
Australia,Scoresby,"-37.898567,145.230362",FM management & administration,"28,056.00",Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",Grounds Maintenance,"21,057.00",Self Delivery
Australia,Ringwood,"-37.814262,145.227386",Grounds Maintenance,"14,514.00",Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",FM management & administration,"14,514.00",Self Delivery
Singapore,Jurong,"1.364434,103.775263",FM management & administration,"13,792.00",Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",Employee Convenience Services,"9,857.00",Self Delivery
Australia,South Wharf,"-37.824997,144.951999",Grounds Maintenance,"14,364.00",Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,901.75,Subcontract
Australia,Claremont,"-31.981633,115.781288",Employee Convenience Services,"9,546.00",Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",FM management & administration,"24,077.00",Self Delivery
India,Baddi,"30.957826,76.791356","E, H, S & Q, compliance","8,923.00",Self Delivery
India,Mumbai EC,"19.030029,72.861308",FM management & administration,"18,225.00",Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",FM management & administration,"22,508.00",Self Delivery
Australia,Claremont,"-31.981633,115.781288","E, H, S & Q, compliance","7,831.00",Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",FM management & administration,"28,128.00",Self Delivery
Australia,Ringwood,"-37.814262,145.227386",FM management & administration,"7,040.00",Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",FM management & administration,"7,040.00",Self Delivery
Australia,Ringwood,"-37.814262,145.227386",Grounds Maintenance,"12,872.00",Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",FM management & administration,"12,872.00",Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",Grounds Maintenance,"10,178.00",Self Delivery
India,Mumbai EC,"19.030029,72.861308",Cleaning,849.48,Subcontract
Australia,Scoresby,"-37.898567,145.230362",FM management & administration,"27,680.00",Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",Employee Convenience Services,"7,934.00",Self Delivery
India,Baddi,"30.957826,76.791356",FM management & administration,"8,418.00",Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,830.78,Subcontract
Australia,Scoresby,"-37.898567,145.230362","E, H, S & Q, compliance","9,825.00",Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",Grounds Maintenance,"27,944.00",Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",FM management & administration,"19,266.00",Self Delivery
Australia,South Wharf,"-37.824997,144.951999",FM management & administration,"7,479.00",Self Delivery
Australia,Scoresby,"-37.898567,145.230362",Grounds Maintenance,"19,415.00",Self Delivery
Australia,Ringwood,"-37.814262,145.227386",Grounds Maintenance,"11,293.00",Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",FM management & administration,"11,293.00",Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",Employee Convenience Services,"7,602.00",Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",FM management & administration,"26,642.00",Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332","Meetings, Communications, Events",794.6,Self Delivery
Australia,Ringwood,"-37.814262,145.227386",FM management & administration,"6,801.00",Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",FM management & administration,"19,113.00",Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",Grounds Maintenance,"6,801.00",Self Delivery
India,Baddi,"30.957826,76.791356",Building Fabric,787.54,Self Delivery
Australia,Scoresby,"-37.898567,145.230362",Employee Convenience Services,"9,599.00",Self Delivery
